"Group","Tag programme","Fisheries","Release groups","Release years","Estimated"
1,"RTTP/PTTP/pooled","1-2,4-10","1-61","1989-1992,2006-2013,2015-2021","Yes"
2,"RTTP/PTTP/pooled","3","1-61","1989-1992,2006-2013,2015-2021","No"
3,"RTTP/PTTP/pooled","11","1-61","1989-1992,2006-2013,2015-2021","No"
4,"RTTP","12","1-15","1989-1992","No"
5,"RTTP","13","1-15","1989-1992","No"
6,"RTTP","14-18,21-22","1-15","1989-1992","Yes"
7,"RTTP","19-20","1-15","1989-1992","Yes"
8,"RTTP","23","1-15","1989-1992","No"
9,"RTTP","24","1-15","1989-1992","No"
10,"RTTP","25,27","1-15","1989-1992","Yes"
11,"RTTP","26,28","1-15","1989-1992","No"
12,"PTTP/pooled","12-13","16-61","2006-2013,2015-2021","No"
13,"PTTP/pooled","14-18,21-22","16-61","2006-2013,2015-2021","Yes"
14,"PTTP/pooled","19-20","16-61","2006-2013,2015-2021","Yes"
15,"PTTP/pooled","23","16-61","2006-2013,2015-2021","No"
16,"PTTP/pooled","24","16-61","2006-2013,2015-2021","No"
17,"PTTP/pooled","25,27","16-61","2006-2013,2015-2021","Yes"
18,"PTTP/pooled","26,28","16-61","2006-2013,2015-2021","Yes"
19,"JPTP","1","62-98","2000-2010,2012,2014,2017","Yes"
20,"JPTP","2,4-10","62-98","2000-2010,2012,2014,2017","Yes"
21,"JPTP","3","62-98","2000-2010,2012,2014,2017","No"
22,"JPTP","11","62-98","2000-2010,2012,2014,2017","No"
23,"JPTP","12-13","62-98","2000-2010,2012,2014,2017","Yes"
24,"JPTP","14-15,17-18,21-22","62-98","2000-2010,2012,2014,2017","No"
25,"JPTP","16","62-98","2000-2010,2012,2014,2017","No"
26,"JPTP","19-20","62-98","2000-2010,2012,2014,2017","No"
27,"JPTP","23","62-98","2000-2010,2012,2014,2017","No"
28,"JPTP","24","62-98","2000-2010,2012,2014,2017","No"
29,"JPTP","25,27","62-98","2000-2010,2012,2014,2017","Yes"
30,"JPTP","26,28","62-98","2000-2010,2012,2014,2017","No"
