"year","quantity","estimate","se_log","lower_50","upper_50","lower_80","upper_80","lower_95","upper_95","final_par_sha256","hessian_sha256","gradient_sha256","method"
1952,"fishing_mortality",0.08073117725,0.0582444152900997,0.0776211215239312,0.0839658439895321,0.0749245505306011,0.0869878155292903,0.0720217300398339,0.0904938409083785,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1953,"fishing_mortality",0.074938334,0.0565428073133051,0.072134181605824,0.0778514953338314,0.0697001896540324,0.0805701380522809,0.0670771665420381,0.0837207978839728,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1954,"fishing_mortality",0.05081551975,0.0543566357534496,0.0489862095696504,0.0527131425384352,0.0473961491182127,0.0544815791051342,0.0456801919053353,0.0565281567295922,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1955,"fishing_mortality",0.08074136175,0.0563759380082317,0.0777288111724208,0.0838706703333377,0.075113650722908,0.0867907155956695,0.0722950869403871,0.0901744194957525,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1956,"fishing_mortality",0.08891603075,0.0511741988711028,0.0858993255207752,0.0920386798895507,0.0832718098709807,0.0949428208247714,0.0804304521803071,0.0982968553578602,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1957,"fishing_mortality",0.11924083475,0.0485783124101151,0.115397154443719,0.123212541421993,0.112043776557813,0.126900191234989,0.10841143003985,0.13115200737275,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1958,"fishing_mortality",0.17662595,0.048304704250414,0.170964031404553,0.182475377756983,0.166023484337332,0.187905502272293,0.160670990846486,0.194165269343547,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1959,"fishing_mortality",0.162949457,0.0488545902775226,0.157667463319158,0.168408401946861,0.15306006044823,0.173477819483651,0.14807025181153,0.179323835893735,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1960,"fishing_mortality",0.163184655,0.0526115044814865,0.157495437856999,0.169079384074906,0.152544759277094,0.174566676388387,0.147196106923996,0.180909890784128,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1961,"fishing_mortality",0.1623618425,0.050982134513674,0.15687361999021,0.168042070436317,0.152092852468571,0.173324173175345,0.146922361271896,0.179423796839272,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
